Order_Date,OrderNumber,ItemDescription,ProductCategory,MRP,Units,Address,OrderStatus
23.06.2023,TC100000,Air Fryer,Fashion,"₹2,119.59",1,"Kolkata, Delhi",Returned
29.05.2023,TC100001,Handbag,Home Appliances,"₹1,514.35",1,"Bangalore, Uttar Pradesh",Delivered
04.07.2023,TC100002,Home Theatre System,Electronics,"2,381",1,"Chennai, Telangana",Returned
16.11.2023,TC100003,Formal Shoes,Fashion,"₹1,860.08",1,"Lucknow, Rajasthan",Returned
09.08.2023,TC100004,Designer Watch,Electronics,"Rs. 4,055",2,"Pune, Karnataka",Shipped
21.01.2023,TC100005,Formal Shoes,Electronics,"3,173",1,"Lucknow, Rajasthan",Returned
31.12.2023,TC100006,Handbag,Home Appliances,Rs. 457,1,"Lucknow, Tamil Nadu",Shipped
16.12.2023,TC100007,Home Theatre System,Home Appliances,523,2,"Mumbai, West Bengal",Cancelled
18.07.2023,TC100008,Home Theatre System,Accessories,"Rs. 2,043",1,"Bangalore, West Bengal",Cancelled
03.05.2023,TC100009,Designer Watch,Electronics,"1,726",2,"Surat, Maharashtra",Delivered
17.04.2023,TC100010,Designer Watch,Fashion,"1,980",2,"Ahmedabad, Rajasthan",Delivered
09.11.2023,TC100011,Formal Shoes,Home Appliances,"2,981",1,"Ahmedabad, Maharashtra",Delivered
07.11.2023,TC100012,Handbag,Electronics,"₹2,578.88",2,"Delhi, Maharashtra",Returned
08.02.2023,TC100013,Designer Watch,Fashion,"Rs. 2,567",1,"Chennai, Delhi",Shipped
20.03.2023,TC100014,Handbag,Electronics,"Rs. 3,935",1,"Pune, Uttar Pradesh",Cancelled
18.10.2023,TC100015,Formal Shoes,Electronics,533,2,"Delhi, Tamil Nadu",Returned
18.11.2023,TC100016,Designer Watch,Fashion,"2,325",2,"Lucknow, Gujarat",Shipped
12.09.2023,TC100017,Air Fryer,Fashion,"Rs. 1,505",1,"Indore, Maharashtra",Cancelled
