Order Date,order_id,product_title,sub_category,selling_price,units,delivery_city,delivery_status
2023-07-10,OD200000,Power Bank 20000mAh,Computers,"20,063",2,Pune,Cancelled
2023-03-08,OD200001,Power Bank 20000mAh,Audio,₹999.00,1,Bangalore,Delivered
2023-10-12,OD200002,Smartwatch,Audio,999,2,Indore,In Transit
2023-01-31,OD200003,Power Bank 20000mAh,Wearables,"Rs. 14,388",2,Ahmedabad,Cancelled
2023-10-28,OD200004,Power Bank 20000mAh,Mobiles,"10,283",1,Surat,Cancelled
2023-10-15,OD200005,Laptop 15.6in,Computers,"Rs. 12,614",2,Chennai,Cancelled
2023-10-15,OD200006,Laptop 15.6in,Audio,"11,710",2,Indore,Delivered
2023-06-18,OD200007,Bluetooth Earbuds,Computers,"₹22,872.19",1,Bangalore,Delivered
2023-12-10,OD200008,Smartwatch,Mobiles,"Rs. 15,829",2,Mumbai,Cancelled
2023-03-04,OD200009,Smartphone 128GB,Mobiles,"Rs. 17,141",1,Indore,Delivered
2023-07-30,OD200010,Smartwatch,Audio,"Rs. 4,261",2,Pune,In Transit
2023-07-01,OD200011,Smartwatch,Wearables,999,1,Chennai,In Transit
2023-12-07,OD200012,Laptop 15.6in,Wearables,"₹23,988.33",1,Lucknow,Delivered
2023-08-05,OD200013,Laptop 15.6in,Mobiles,"₹32,145.64",2,Surat,Cancelled
2023-01-27,OD200014,Power Bank 20000mAh,Mobiles,"₹12,259.29",2,Hyderabad,Delivered
2023-05-28,OD200015,Smartphone 128GB,Wearables,"₹16,994.52",2,Bangalore,Delivered
2023-11-04,OD200016,Laptop 15.6in,Mobiles,"17,596",2,Lucknow,Delivered
2023-06-09,OD200017,Power Bank 20000mAh,Audio,"Rs. 28,402",2,Surat,Cancelled
2023-06-30,OD200018,Smartphone 128GB,Audio,"22,112",1,Kolkata,In Transit
2023-02-23,OD200019,Laptop 15.6in,Computers,"₹18,968.51",2,Kolkata,Delivered
2023-10-23,OD200020,Smartwatch,Wearables,"15,445",1,Jaipur,Cancelled
2023-09-17,OD200021,Smartwatch,Mobiles,"15,482",1,Pune,Cancelled
2023-04-19,OD200022,Smartphone 128GB,Computers,"3,484",2,Delhi,In Transit
2023-03-21,OD200023,Smartphone 128GB,Audio,"11,932",1,Kolkata,Cancelled
2023-12-03,OD200024,Laptop 15.6in,Wearables,"22,090",1,Surat,Cancelled
2023-09-04,OD200025,Laptop 15.6in,Audio,"₹13,130.37",1,Delhi,Cancelled
2023-04-25,OD200026,Smartphone 128GB,Mobiles,"₹15,354.80",1,Bangalore,In Transit
2023-02-25,OD200027,Smartphone 128GB,Computers,"Rs. 5,591",2,Bangalore,Delivered
2023-06-29,OD200028,Power Bank 20000mAh,Mobiles,"18,564",1,Ahmedabad,In Transit
2023-10-12,OD200029,Power Bank 20000mAh,Mobiles,"3,306",2,Pune,Delivered
2023-07-08,OD200030,Power Bank 20000mAh,Wearables,"Rs. 17,319",2,Hyderabad,Cancelled
2023-02-28,OD200031,Smartwatch,Wearables,"13,502",1,Mumbai,Cancelled
2023-05-23,OD200032,Smartwatch,Mobiles,"1,054",2,Chennai,Delivered
2023-10-21,OD200033,Power Bank 20000mAh,Wearables,"23,556",2,Kolkata,In Transit
2023-04-26,OD200034,Power Bank 20000mAh,Computers,"13,689",2,Hyderabad,In Transit
2023-08-08,OD200035,Smartphone 128GB,Computers,"29,886",1,Ahmedabad,In Transit
2023-10-15,OD200036,Smartwatch,Mobiles,"₹26,826.02",2,Chennai,Delivered
2023-11-15,OD200037,Power Bank 20000mAh,Computers,"7,964",2,Pune,Cancelled
2023-11-11,OD200038,Bluetooth Earbuds,Mobiles,"Rs. 8,666",2,Chennai,Cancelled
2023-12-12,OD200039,Laptop 15.6in,Computers,"5,624",1,Lucknow,Cancelled
2023-11-26,OD200040,Power Bank 20000mAh,Audio,"2,308",2,Indore,Delivered
2023-10-13,OD200041,Smartwatch,Mobiles,"₹11,622.58",1,Lucknow,Cancelled
2023-01-14,OD200042,Power Bank 20000mAh,Computers,"₹26,549.98",1,Mumbai,Cancelled
2023-11-08,OD200043,Bluetooth Earbuds,Audio,999,1,Chennai,In Transit
2023-12-03,OD200044,Smartphone 128GB,Mobiles,"21,816",1,Surat,Cancelled
2023-12-22,OD200045,Smartwatch,Computers,"21,147",1,Pune,In Transit
2023-05-17,OD200046,Smartphone 128GB,Computers,"Rs. 19,438",1,Indore,Delivered
2023-01-15,OD200047,Laptop 15.6in,Audio,"20,865",2,Hyderabad,In Transit
2023-04-03,OD200048,Smartphone 128GB,Wearables,"6,166",1,Mumbai,Cancelled
2023-05-20,OD200049,Power Bank 20000mAh,Wearables,"Rs. 21,093",2,Surat,Cancelled
2023-12-26,OD200050,Bluetooth Earbuds,Audio,"Rs. 10,606",2,Delhi,In Transit
2023-06-08,OD200051,Smartphone 128GB,Audio,999,1,Ahmedabad,Cancelled
2023-06-23,OD200052,Bluetooth Earbuds,Mobiles,"15,459",2,Chennai,In Transit
2023-06-29,OD200053,Smartwatch,Wearables,"8,247",2,Bangalore,Cancelled
2023-01-04,OD200054,Smartwatch,Mobiles,"(25,871)",2,Kolkata,In Transit
2023-04-03,OD200055,Power Bank 20000mAh,Computers,"12,709",2,Surat,In Transit
2023-03-15,OD200056,Power Bank 20000mAh,Audio,"Rs. 15,365",1,Jaipur,Delivered
2023-10-17,OD200057,Power Bank 20000mAh,Mobiles,"Rs. 18,113",2,Indore,In Transit
2023-12-03,OD200058,Bluetooth Earbuds,Audio,"12,861",1,Chennai,In Transit
2023-07-25,OD200059,Laptop 15.6in,Mobiles,"₹14,169.27",2,Indore,Delivered
2023-02-05,OD200060,Laptop 15.6in,Computers,"₹21,748.59",2,Delhi,Cancelled
2023-03-14,OD200061,Laptop 15.6in,Computers,"6,469",1,Surat,In Transit
2023-11-21,OD200062,Smartwatch,Wearables,"9,385",2,Chennai,Delivered
2023-01-16,OD200063,Smartwatch,Wearables,"7,263",2,Pune,Delivered
2023-02-16,OD200064,Laptop 15.6in,Computers,"₹26,494.04",2,Lucknow,In Transit
2023-09-29,OD200065,Power Bank 20000mAh,Mobiles,"₹9,386.40",1,Hyderabad,Cancelled
