order_time,order_id,item_name,product_category,price,quantity,delivery_city
2023-07-08 00:00:00,BLK900000,Cold Drink 750ml,Packaged Food,20,4,Ahmedabad
2023-07-24 00:00:00,BLK900001,Instant Noodles Pack,Bakery,437,4,Bangalore
2023-07-26 00:00:00,BLK900002,Milk 1L,Dairy,₹224.92,1,Jaipur
2023-12-23 00:00:00,BLK900003,Cold Drink 750ml,Beverages,Rs. 350,5,Kolkata
2023-12-09 00:00:00,BLK900004,Onions 1kg,Beverages,500,1,Hyderabad
2023-07-21 00:00:00,BLK900005,Onions 1kg,Bakery,Rs. 615,2,Hyderabad
2023-12-06 00:00:00,BLK900006,Instant Noodles Pack,Packaged Food,153,3,Hyderabad
2023-11-14 00:00:00,BLK900007,Bread Loaf,Dairy,₹270.09,5,Mumbai
2023-06-03 00:00:00,BLK900008,Instant Noodles Pack,Packaged Food,₹455.03,2,Indore
2023-09-01 00:00:00,BLK900009,Instant Noodles Pack,Dairy,Rs. 123,5,Bangalore
2023-12-03 00:00:00,BLK900010,Milk 1L,Bakery,163,2,Delhi
2023-10-26 00:00:00,BLK900011,Onions 1kg,Vegetables,₹161.79,3,Indore
2023-06-27 00:00:00,BLK900012,Instant Noodles Pack,Bakery,Rs. 246,3,Indore
2023-11-21 00:00:00,BLK900013,Bread Loaf,Packaged Food,217,4,Bangalore
2023-12-19 00:00:00,BLK900014,Cold Drink 750ml,Packaged Food,161,2,Kolkata
2023-07-08 00:00:00,BLK900015,Bread Loaf,Vegetables,105,4,Indore
2023-09-05 00:00:00,BLK900016,Milk 1L,Vegetables,372,2,Mumbai
2023-09-18 00:00:00,BLK900017,Onions 1kg,Vegetables,Rs. 451,4,Indore
2023-11-21 00:00:00,BLK900018,Bread Loaf,Packaged Food,Rs. 472,3,Kolkata
2023-07-14 00:00:00,BLK900019,Onions 1kg,Bakery,₹177.84,5,Pune
2023-06-15 00:00:00,BLK900020,Cold Drink 750ml,Beverages,Rs. 378,4,Mumbai
2023-06-25 00:00:00,BLK900021,Cold Drink 750ml,Vegetables,Rs. 285,2,Indore
2023-08-31 00:00:00,BLK900022,Cold Drink 750ml,Dairy,₹164.40,2,Delhi
2023-09-30 00:00:00,BLK900023,Bread Loaf,Packaged Food,360,3,Surat
2023-07-16 00:00:00,BLK900024,Instant Noodles Pack,Packaged Food,158,2,Lucknow
2023-06-14 00:00:00,BLK900025,Bread Loaf,Bakery,194,1,Delhi
2023-07-01 00:00:00,BLK900026,Onions 1kg,Bakery,Rs. 43,5,Ahmedabad
2023-10-10 00:00:00,BLK900027,Instant Noodles Pack,Vegetables,180,4,Lucknow
2023-11-14 00:00:00,BLK900028,Instant Noodles Pack,Packaged Food,288,5,Bangalore
2023-08-26 00:00:00,BLK900029,Milk 1L,Dairy,₹485.34,3,Mumbai
2023-10-30 00:00:00,BLK900030,Cold Drink 750ml,Vegetables,Rs. 197,4,Bangalore
2023-09-20 00:00:00,BLK900031,Bread Loaf,Bakery,Rs. 94,4,Pune
2023-07-09 00:00:00,BLK900032,Milk 1L,Dairy,₹474.61,1,Bangalore
2023-11-08 00:00:00,BLK900033,Onions 1kg,Bakery,Rs. 174,3,Delhi
2023-12-02 00:00:00,BLK900034,Milk 1L,Vegetables,20,2,Hyderabad
2023-09-12 00:00:00,BLK900035,Cold Drink 750ml,Dairy,₹269.96,1,Delhi
2023-08-02 00:00:00,BLK900036,Milk 1L,Bakery,Rs. 201,1,Mumbai
2023-06-09 00:00:00,BLK900037,Cold Drink 750ml,Packaged Food,595,5,Lucknow
2023-07-01 00:00:00,BLK900038,Instant Noodles Pack,Packaged Food,Rs. 321,5,Kolkata
2023-08-01 00:00:00,BLK900039,Milk 1L,Vegetables,228,5,Bangalore
2023-09-10 00:00:00,BLK900040,Onions 1kg,Dairy,₹111.33,1,Bangalore
2023-10-04 00:00:00,BLK900041,Milk 1L,Bakery,Rs. 300,2,Ahmedabad
2023-08-17 00:00:00,BLK900042,Onions 1kg,Bakery,Rs. 469,4,Indore
2023-11-24 00:00:00,BLK900043,Onions 1kg,Packaged Food,₹296.77,5,Bangalore
2023-10-31 00:00:00,BLK900044,Onions 1kg,Vegetables,₹122.89,2,Indore
2023-07-15 00:00:00,BLK900045,Bread Loaf,Dairy,331,3,Jaipur
2023-11-15 00:00:00,BLK900046,Bread Loaf,Packaged Food,243,5,Indore
2023-12-08 00:00:00,BLK900047,Onions 1kg,Packaged Food,317,4,Chennai
2023-09-05 00:00:00,BLK900048,Milk 1L,Beverages,₹196.78,3,Ahmedabad
2023-12-16 00:00:00,BLK900049,Milk 1L,Packaged Food,193,3,Kolkata
2023-11-25 00:00:00,BLK900050,Instant Noodles Pack,Bakery,Rs. 187,4,Indore
2023-12-21 00:00:00,BLK900051,Bread Loaf,Vegetables,391,5,Pune
2023-11-19 00:00:00,BLK900052,Instant Noodles Pack,Packaged Food,195,1,Ahmedabad
2023-11-16 00:00:00,BLK900053,Milk 1L,Beverages,181,4,Surat
2023-06-23 00:00:00,BLK900054,Milk 1L,Packaged Food,₹108.69,4,Indore
2023-12-17 00:00:00,BLK900055,Bread Loaf,Bakery,₹318.10,4,Mumbai
2023-09-27 00:00:00,BLK900056,Cold Drink 750ml,Dairy,297,3,Chennai
2023-12-27 00:00:00,BLK900057,Onions 1kg,Dairy,Rs. 183,2,Delhi
2023-11-14 00:00:00,BLK900058,Cold Drink 750ml,Dairy,144,1,Bangalore
2023-09-06 00:00:00,BLK900059,Instant Noodles Pack,Bakery,Rs. 531,5,Mumbai
